Inputs;Outputs;Valor
bc1qhtr2qp4qzxc7lh0ep5swcvndlg50jqahxyecs7;bc1qkyky4dr9jusvv9jda5eu4jrt9z3vnv9t6jl0fr;1131989
bc1qjt55zhxk3anal0lnycy0eztzpvu8w9stzf64ta;38dCtgP96YDqhiRCaYDj6mKBD78Bmrf5W3;2800700
bc1qjt55zhxk3anal0lnycy0eztzpvu8w9stzf64ta;bc1qk6vf8c9x8dwhwht5vhv0h0ltwfz2t4whazcc2n;3446200
bc1q4llkz8qld4sk99jfazvnlmdszr0unm9uuy0puk;1GgcyFuZntMkVzy4cf46UtvLx5Lotx1mx5;16657810
bc1q4llkz8qld4sk99jfazvnlmdszr0unm9uuy0puk;bc1q4llkz8qld4sk99jfazvnlmdszr0unm9uuy0puk;190387735
3QNvgJqVKcnUp2jhwRPvAoS8Eo7kGykQPa;3EetfC2tR3T25dAtAcMnbxUtX3xY4GsFuA;7598688
3QNvgJqVKcnUp2jhwRPvAoS8Eo7kGykQPa;3EKTa7mE24rgPJ4DiFgYkET6MEa5NXpva7;215075
36eTp1qyfzCec3u9bozi7Dcxxjtwqp8JCz;3HmKnVo2V9jCReN7VQFP9HnbpK7B385gui;7930148
36eTp1qyfzCec3u9bozi7Dcxxjtwqp8JCz;1K2pZB3ATLeCsWLXLg6XNSxwPgK3S6W3hJ;426891
3KAmdfjYvJi4Dh8Tpv72nkKx9b1iWV3FHD;1XubgQW6QL5raB52iDXVbBzXGw8RqZVes;100000
19W9CCxjKEU4M7K1xBCQwW4AYL9qBPsvgA;3Lkr51qNQx1DQvA7kji9zf2AtJLJC9HkSD;24804744
bc1qgh2ve37hgxjups9pv37clk32yt7u36ce5g6rh2;bc1q93vzmehnx85957xsaafl60939z9zy0hhcwaumn;277030.6024
bc1qgh2ve37hgxjups9pv37clk32yt7u36ce5g6rh2;bc1q4ljqd9r82mgw8u5c0j5s0xltqc7vjetvqhp7ry;33380.55641
bc1quss9t82jy3w5axvaw0q53eak2le47wr3srq9gj;bc1q93vzmehnx85957xsaafl60939z9zy0hhcwaumn;624789.3976
bc1quss9t82jy3w5axvaw0q53eak2le47wr3srq9gj;bc1q4ljqd9r82mgw8u5c0j5s0xltqc7vjetvqhp7ry;75283.44359
bc1q46nytqaeanldqtkxcntaxks3w7uqt96xgpqtmt;3E6r5unTWf9QeeJTsxjsyEPQ9GsLJqGCzx;27445.20196
bc1q46nytqaeanldqtkxcntaxks3w7uqt96xgpqtmt;bc1qg083l4nj53era6e6rrvfdtnfgms4kjfjx6ccln;18283.78762
bc1qvqz4lva8he5sjaulhxzas743dgg3dc3y3lsjwj;3E6r5unTWf9QeeJTsxjsyEPQ9GsLJqGCzx;561654.798
bc1qvqz4lva8he5sjaulhxzas743dgg3dc3y3lsjwj;bc1qg083l4nj53era6e6rrvfdtnfgms4kjfjx6ccln;374170.2124
bc1q2zukp7mac2pl5m7aht5qstgtatpmglydrfqtal;1N9tgMrbhRTAoeHVFps9i5GBhnnq9DjNAk;6473.453262
bc1q2zukp7mac2pl5m7aht5qstgtatpmglydrfqtal;bc1q3ypt6nalplmjren60m56l87xmyy4ym0jj3pqe3;111.3324141
bc1qr5cymgdapx80kfa6ml0dl6meuzqfx37tuapa6h;1N9tgMrbhRTAoeHVFps9i5GBhnnq9DjNAk;978158.5467
bc1qr5cymgdapx80kfa6ml0dl6meuzqfx37tuapa6h;bc1q3ypt6nalplmjren60m56l87xmyy4ym0jj3pqe3;16822.66759
1KV72n4rw8rVL7bjnpRj5gzykbVAqiKyb9;3LTtc2bYfGwVakpr7HXc83z8iMvFhWiwsf;20762410
1KV72n4rw8rVL7bjnpRj5gzykbVAqiKyb9;39xVgpnf4TPvLhSLAzLXhVTisnnMVrpeH2;10131216406
bc1q9k2ggqqwpnr6mr5hw2u6ndkdp8nfm9hcxpw36e;bc1q4mjnqyq93p542sc5nflc39zfry4spnj8zz7e0y;64638
bc1q9k2ggqqwpnr6mr5hw2u6ndkdp8nfm9hcxpw36e;bc1qp93uhxamlh99kv0qpg5mpesp7dkmc2hu9fv6za;151594647
bc1qp93uhxamlh99kv0qpg5mpesp7dkmc2hu9fv6za;176M1VWbTGFiRf7UcAPEf6ogU2b3QZqnFj;2660181
bc1qp93uhxamlh99kv0qpg5mpesp7dkmc2hu9fv6za;bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;148932176
bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;bc1q8emv2rh0hudyd60msgkxm6acv3pu5c94lsfdun;217522
bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;148712412
bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;bc1qrv522jxm4fyjjenq7jqwtn6xz0pd5jpd0dw8vf;400466
bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;bc1qe704tp5dt3gt6795tpegl9mfqxg790wyljj5cg;148309704
bc1qe704tp5dt3gt6795tpegl9mfqxg790wyljj5cg;bc1q0tcuz9x6d6vm8k9zmlrm0chpq7v0mekqcu4vzd;915441
bc1qe704tp5dt3gt6795tpegl9mfqxg790wyljj5cg;bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;147392021
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1qn5geknltfva2hgy79xmmaf939uqc6sn407pue9;316418
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;147073361
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1q77xjr8htupec5d4m52kxfyc4yqhkqd5xxj5mrm;3850386
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;143220733
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1quvh7je7n3wna0fva6qkcx2yjz3y24aucttzwuh;4045239
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;139173252
bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;bc1q9lla3xurqfspnw2308jkvljw0r78q4es5c4tly;594745
bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;138576265
bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;bc1qg430fxfxzdd45vkvevtgqcwmq63zkpdmj73r96;185100
bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;138388900
bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;bc1qcu6gpv87kc63gfugg53x2uk06lm24xh8nsffx9;801778
bc1qa97whakts7jxd37e34ujkc0u8e59qk8m7n6yd2;bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;137584880
bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;bc1qdef5xwlaanyqudja9zluy0gh5a92s0jjrwmldr;401945
bc1q8ryrkygkuqpjknnjjvw7d5cmhhrugyu4mfefne;bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;137180693
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;32wTmrHR6HL7W7SdfgpcaJeh5hPRmsywev;3893351
bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;133285084
bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;bc1q0tcuz9x6d6vm8k9zmlrm0chpq7v0mekqcu4vzd;424250
bc1qm6jwv2lx7tpyhfhs6amvyfxnutx6pkdlcs6x9e;bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;132858590
bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;160986
bc1qr5z2u6tchzh4mcr73nv649jxfh5qkcjxc7h73u;bc1qxdh9f3mpq0j8qe54r8zpnq67c6vtt9zy3cs4gn;132695314
1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;18AJ2qB79VHfgZ5pVxjQ9nfdtgWBk5fmp1;426702.7817
1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;18AJ2qB79VHfgZ5pVxjQ9nfdtgWBk5fmp1;429380.2816
1GZedsrPqRVRv8vu3pjT9dSksAqiN2SuTN;18AJ2qB79VHfgZ5pVxjQ9nfdtgWBk5fmp1;1017385.599
